"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total"
"Alabama","0.238","0.091","0.113","0.252","0.128","0.178","1.000"
"Alaska","0.259","0.092","0.145","0.236","0.124","0.143","1.000"
"Arizona","0.233","0.093","0.120","0.253","0.111","0.189","1.000"
"Arkansas","0.242","0.089","0.123","0.235","0.132","0.179","1.000"
"California","0.234","0.087","0.133","0.267","0.122","0.156","1.000"
"Colorado","0.233","0.099","0.128","0.274","0.123","0.143","1.000"
"Connecticut","0.211","0.065","0.126","0.252","0.154","0.193","1.000"
"Delaware","0.228","0.077","0.105","0.240","0.155","0.195","1.000"
"District of Columbia","0.205","0.097","0.198","0.260","0.100","0.141","1.000"
"Florida","0.203","0.085","0.112","0.251","0.135","0.215","1.000"
"Georgia","0.250","0.092","0.128","0.259","0.124","0.146","1.000"
"Hawaii","0.230","0.077","0.108","0.259","0.130","0.197","1.000"
"Idaho","0.257","0.115","0.119","0.228","0.115","0.166","1.000"
"Illinois","0.230","0.097","0.122","0.255","0.134","0.163","1.000"
"Indiana","0.248","0.092","0.124","0.238","0.139","0.159","1.000"
"Iowa","0.237","0.092","0.116","0.238","0.129","0.188","1.000"
"Kansas","0.252","0.080","0.126","0.255","0.110","0.176","1.000"
"Kentucky","0.238","0.089","0.120","0.235","0.134","0.184","1.000"
"Louisiana","0.249","0.089","0.135","0.234","0.132","0.160","1.000"
"Maine","0.203","0.072","0.100","0.238","0.157","0.230","1.000"
"Maryland","0.233","0.086","0.117","0.238","0.151","0.175","1.000"
"Massachusetts","0.214","0.092","0.128","0.253","0.129","0.184","1.000"
"Michigan","0.228","0.092","0.118","0.250","0.117","0.195","1.000"
"Minnesota","0.256","0.087","0.106","0.263","0.122","0.166","1.000"
"Mississippi","0.244","0.076","0.135","0.236","0.141","0.168","1.000"
"Missouri","0.237","0.091","0.119","0.252","0.123","0.178","1.000"
"Montana","0.224","0.080","0.125","0.243","0.128","0.200","1.000"
"Nebraska","0.260","0.093","0.129","0.227","0.123","0.168","1.000"
"Nevada","0.240","0.075","0.134","0.259","0.122","0.172","1.000"
"New Hampshire","0.192","0.073","0.118","0.247","0.150","0.220","1.000"
"New Jersey","0.232","0.085","0.113","0.257","0.137","0.176","1.000"
"New Mexico","0.241","0.080","0.117","0.244","0.113","0.204","1.000"
"New York","0.221","0.090","0.127","0.246","0.136","0.180","1.000"
"North Carolina","0.224","0.094","0.120","0.265","0.136","0.161","1.000"
"North Dakota","0.252","0.089","0.137","0.242","0.123","0.158","1.000"
"Ohio","0.236","0.091","0.112","0.230","0.147","0.184","1.000"
"Oklahoma","0.259","0.086","0.130","0.245","0.119","0.161","1.000"
"Oregon","0.211","0.071","0.135","0.288","0.098","0.196","1.000"
"Pennsylvania","0.227","0.089","0.117","0.240","0.140","0.188","1.000"
"Rhode Island","0.203","0.083","0.140","0.247","0.131","0.196","1.000"
"South Carolina","0.229","0.084","0.118","0.247","0.138","0.184","1.000"
"South Dakota","0.261","0.079","0.121","0.235","0.127","0.176","1.000"
"Tennessee","0.234","0.078","0.124","0.259","0.116","0.189","1.000"
"Texas","0.269","0.096","0.122","0.261","0.111","0.141","1.000"
"Utah","0.303","0.125","0.126","0.242","0.092","0.112","1.000"
"Vermont","0.193","0.078","0.116","0.248","0.155","0.211","1.000"
"Virginia","0.232","0.085","0.123","0.264","0.151","0.145","1.000"
"Washington","0.232","0.077","0.140","0.281","0.125","0.145","1.000"
"West Virginia","0.210","0.077","0.112","0.251","0.141","0.208","1.000"
"Wisconsin","0.223","0.076","0.120","0.259","0.150","0.171","1.000"
"Wyoming","0.245","0.089","0.106","0.247","0.130","0.183","1.000"

